image,Label_true,Label_pred_iv4,Prob_pred_iv4,Label_pred_rn50,Prob_pred_rn50
ISIC_0014795,1,0,0.9487826824188232,0,0.999843955039978
ISIC_0015216,0,0,0.9991984963417053,0,0.8842542767524719
ISIC_0014931,1,1,0.5665706396102905,0,0.8125287890434265
ISIC_0015568,0,0,0.9826958179473877,0,0.9992819428443909
ISIC_0014792,0,0,0.9877332448959351,0,0.6630818843841553
ISIC_0014836,0,0,0.9978614449501038,0,0.6477295160293579
ISIC_0015412,0,0,0.9871208071708679,0,0.90656977891922
ISIC_0015124,1,0,0.6801202297210693,0,0.52375328540802
ISIC_0015008,0,0,0.9999905824661255,0,0.9989049434661865
ISIC_0014746,0,0,0.9999659061431885,0,0.9999998807907104
ISIC_0015276,0,0,0.9448615312576294,0,0.9826378226280212
ISIC_0014803,0,0,0.9999924898147583,0,0.9999969005584717
ISIC_0014940,0,0,0.9874288439750671,0,0.9996857643127441
ISIC_0014854,0,0,0.5516372323036194,0,0.6516605019569397
ISIC_0015089,0,0,0.9584484100341797,0,0.9299894571304321
ISIC_0015482,0,0,0.8865284323692322,0,0.9691013097763062
ISIC_0014863,0,0,0.9995805621147156,0,0.9998446702957153
ISIC_0014952,0,1,0.6193436980247498,0,0.9986434578895569
ISIC_0015050,1,0,0.9989563226699829,0,0.9998194575309753
ISIC_0014833,0,0,0.9998527765274048,0,0.9982312321662903
ISIC_0015403,0,1,0.6760883927345276,0,0.9982020854949951
ISIC_0015130,0,0,0.999092698097229,0,0.9998354911804199
ISIC_0014787,0,1,0.7671816349029541,0,0.9996583461761475
ISIC_0015244,0,0,0.879418134689331,0,0.9863055944442749
ISIC_0015009,0,0,0.9998500347137451,0,0.9999470710754395
ISIC_0015202,0,0,0.9995269775390625,0,0.9998997449874878
ISIC_0014832,1,0,0.993933379650116,0,0.9991610050201416
ISIC_0014769,0,0,0.8822622895240784,0,0.9194879531860352
ISIC_0015264,0,0,0.9916568994522095,0,0.9992682337760925
ISIC_0014830,0,0,0.9602838158607483,0,0.9990348815917969
ISIC_0014805,0,0,0.9993081092834473,0,0.9994487166404724
ISIC_0014782,0,0,0.962208092212677,1,0.955094575881958
ISIC_0014728,0,0,0.9998912811279297,0,0.998900294303894
ISIC_0014982,1,1,0.9218228459358215,1,0.9654050469398499
ISIC_0014883,1,0,0.7271959185600281,0,0.946395993232727
ISIC_0015118,0,0,0.9961758852005005,0,0.997471809387207
ISIC_0014876,0,0,0.9995371103286743,0,0.9694240093231201
ISIC_0015401,0,1,0.6568017601966858,0,0.9936493039131165
ISIC_0015237,0,1,0.8348435163497925,0,0.6581812500953674
ISIC_0014913,0,1,0.5509486198425293,0,0.7888609766960144
ISIC_0015215,0,0,0.9996176958084106,0,0.95576012134552
ISIC_0015311,0,0,0.9627808928489685,0,0.977442741394043
ISIC_0014848,0,0,0.9067298769950867,0,0.9999223947525024
